,Product,Quantity,Price,Grocery Store,Neighborhood,City
245,10,1.0,236.0,1,12,3
246,10,1.0,84.9,1,8,1
247,10,1.0,84.9,1,8,1
248,10,1.0,91.4,1,8,1
249,10,1.0,110.0,1,7,1
250,10,1.0,30.0,1,8,1
251,10,1.0,84.9,1,2,1
253,10,1.0,84.9,1,7,1
254,10,1.0,84.9,1,7,1
255,10,1.0,99.0,2,7,1
256,10,1.0,99.0,2,1,1
257,10,1.0,109.0,2,9,1
258,10,1.0,110.0,2,3,1
259,10,1.0,110.0,2,8,1
260,10,1.0,110.0,2,7,1
261,10,1.0,549.1939893119809,3,10,2
262,10,1.0,328.9740559798233,3,10,2
263,10,1.0,92.99,4,1,1
266,10,1.0,92.99,4,1,1
267,10,1.0,95.99,4,1,1
268,10,1.0,87.0,4,7,1
269,10,1.0,109.0,4,3,1
270,10,1.0,92.99,4,6,1
271,10,1.0,109.0,4,7,1
272,10,1.0,16.0,4,6,1
273,10,1.0,15.0,4,4,1
274,10,1.0,95.99,4,8,1
275,10,1.0,316.0,5,5,3
276,10,1.0,173.33333333333334,5,5,3
277,10,1.0,395.55555555555554,5,11,3
278,10,1.0,220.0,5,15,3
279,10,1.0,300.0,5,5,3
280,10,1.0,236.0,1,15,3
282,10,1.0,196.66666666666669,1,13,3
283,10,1.0,550.0,1,11,3
284,10,1.0,130.0,1,14,3
285,10,1.0,326.6666666666667,1,12,3
286,10,1.0,84.9,1,8,1
288,10,1.0,84.6,1,8,1
291,10,1.0,104.9,1,2,1
293,10,1.0,349.0,1,7,1
294,10,1.0,104.9,1,7,1
295,10,1.0,139.0,2,7,1
296,10,1.0,109.0,2,1,1
297,10,1.0,110.0,2,9,1
298,10,1.0,98.0,2,3,1
301,10,1.0,342.7309123617701,3,10,2
302,10,1.0,549.1939893119809,3,10,2
303,10,1.0,92.99,4,1,1
306,10,1.0,188.99,4,1,1
307,10,1.0,92.99,4,1,1
309,10,1.0,95.0,4,3,1
310,10,1.0,104.99,4,6,1
314,10,1.0,101.0,4,8,1
315,10,1.0,236.0,5,5,3
316,10,1.0,440.0,5,5,3
317,10,1.0,220.0,5,11,3
319,10,1.0,280.0,5,5,3
322,10,1.0,556.0,1,13,3
323,10,1.0,380.64516129032256,1,11,3
324,10,1.0,326.6666666666667,1,14,3
325,10,1.0,222.22222222222223,1,12,3
326,10,1.0,199.0,1,8,1
331,10,1.0,239.0,1,2,1
333,10,1.0,239.0,1,7,1
335,10,1.0,109.0,2,7,1
336,10,1.0,139.0,2,1,1
337,10,1.0,118.0,2,9,1
338,10,1.0,115.0,2,3,1
341,10,1.0,549.1939893119809,3,10,2
342,10,1.0,549.1939893119809,3,10,2
349,10,1.0,120.0,4,3,1
355,10,1.0,272.0,5,5,3
356,10,1.0,306.6666666666667,5,5,3
359,10,1.0,220.0,5,5,3
360,8,1.0,110.0,1,15,3
361,8,1.0,26.0,1,9,1
362,8,1.0,118.0,1,13,3
363,8,1.0,110.28037383177569,1,11,3
364,8,1.0,590.0,1,14,3
365,8,1.0,110.0,1,12,3
366,8,1.0,54.9,1,8,1
367,8,1.0,26.0,1,8,1
368,8,1.0,35.0,1,8,1
369,8,1.0,33.0,1,7,1
370,8,1.0,26.0,1,8,1
371,8,1.0,178.5,1,2,1
372,8,1.0,35.0,1,2,1
373,8,1.0,183.0,1,7,1
374,8,1.0,26.0,1,7,1
375,8,1.0,44.0,2,7,1
376,8,1.0,39.0,2,1,1
377,8,1.0,29.0,2,9,1
378,8,1.0,29.0,2,3,1
379,8,1.0,35.0,2,8,1
380,8,1.0,29.0,2,7,1
381,8,1.0,273.9025379636325,3,10,2
382,8,1.0,82.32067584966227,3,10,2
383,8,1.0,34.99,4,1,1
386,8,1.0,34.99,4,1,1
387,8,1.0,34.99,4,1,1
388,8,1.0,34.99,4,7,1
389,8,1.0,0.034482758620689655,4,3,1
390,8,1.0,34.99,4,6,1
391,8,1.0,89.9,4,7,1
392,8,1.0,35.0,4,6,1
393,8,1.0,35.0,4,4,1
394,8,1.0,208.19444444444446,4,8,1
395,8,1.0,196.66666666666669,5,5,3
396,8,1.0,184.6153846153846,5,5,3
397,8,1.0,184.6153846153846,5,11,3
398,8,1.0,196.66666666666669,5,15,3
399,8,1.0,196.66666666666669,5,5,3
400,8,1.0,118.0,1,15,3
401,8,1.0,55.0,1,9,1
403,8,1.0,276.0,1,11,3
404,8,1.0,130.0,1,14,3
405,8,1.0,118.0,1,12,3
406,8,1.0,183.0,1,8,1
408,8,1.0,49.8,1,8,1
411,8,1.0,228.0,1,2,1
413,8,1.0,122.0,1,7,1
415,8,1.0,26.0,2,7,1
416,8,1.0,55.0,2,1,1
418,8,1.0,39.0,2,3,1
421,8,1.0,177.56045080160146,3,10,2
422,8,1.0,229.85414204836064,3,10,2
429,8,1.0,24.0,4,3,1
431,8,1.0,29.0,4,7,1
434,8,1.0,24.665000000000003,4,8,1
435,8,1.0,130.0,5,5,3
436,8,1.0,147.5,5,5,3
439,8,1.0,163.33333333333334,5,5,3
440,8,1.0,118.18181818181819,1,15,3
441,8,1.0,54.9,1,9,1
443,8,1.0,162.5,1,11,3
445,8,1.0,130.0,1,12,3
446,8,1.0,26.0,1,8,1
448,8,1.0,35.0,1,8,1
451,8,1.0,192.72727272727272,1,2,1
455,8,1.0,58.0,2,7,1
458,8,1.0,58.0,2,3,1
461,8,1.0,688.2176052487698,3,10,2
462,8,1.0,229.85414204836064,3,10,2
469,8,1.0,31.0,4,3,1
474,8,1.0,114.14285714285715,4,8,1
475,8,1.0,90.0,5,5,3
476,8,1.0,196.66666666666669,5,5,3
479,8,1.0,138.0,5,5,3
480,6,1.0,78.0,1,15,3
481,6,1.0,46.0,1,9,1
483,6,1.0,80.0,1,11,3
484,6,1.0,78.0,1,14,3
485,6,1.0,78.0,1,12,3
486,6,1.0,46.0,1,8,1
487,6,1.0,33.0,1,8,1
488,6,1.0,57.0,1,8,1
489,6,1.0,49.0,1,7,1
490,6,1.0,45.0,1,8,1
491,6,1.0,132.0,1,2,1
492,6,1.0,62.0,1,2,1
493,6,1.0,52.0,1,7,1
494,6,1.0,64.0,1,7,1
495,6,1.0,40.0,2,7,1
496,6,1.0,83.0,2,1,1
497,6,1.0,52.0,2,9,1
498,6,1.0,62.65,2,3,1
499,6,1.0,46.0,2,8,1
500,6,1.0,49.0,2,7,1
503,6,1.0,40.69,4,1,1
504,6,1.0,54.99,4,6,1
505,6,1.0,49.99,4,9,1
506,6,1.0,133.98,4,1,1
507,6,1.0,33.0,4,1,1
508,6,1.0,65.0,4,7,1
509,6,1.0,35.0,4,3,1
510,6,1.0,40.69,4,6,1
511,6,1.0,49.0,4,7,1
512,6,1.0,67.0,4,6,1
513,6,1.0,65.3,4,4,1
514,6,1.0,64.99,4,8,1
515,6,1.0,210.0,5,5,3
516,6,1.0,118.0,5,5,3
517,6,1.0,120.0,5,11,3
518,6,1.0,120.0,5,15,3
519,6,1.0,162.35294117647058,5,5,3
520,6,1.0,106.0,1,15,3
521,6,1.0,33.0,1,9,1
523,6,1.0,230.0,1,11,3
525,6,1.0,130.0,1,12,3
526,6,1.0,34.7,1,8,1
527,6,1.0,46.0,1,8,1
528,6,1.0,42.5,1,8,1
529,6,1.0,33.0,1,7,1
531,6,1.0,79.0,1,2,1
532,6,1.0,65.0,1,2,1
533,6,1.0,49.0,1,7,1
534,6,1.0,49.0,1,7,1
535,6,1.0,77.5,2,7,1
536,6,1.0,80.0,2,1,1
537,6,1.0,46.0,2,9,1
538,6,1.0,35.0,2,3,1
539,6,1.0,33.0,2,8,1
540,6,1.0,46.0,2,7,1
544,6,1.0,51.99,4,6,1
545,6,1.0,52.0,4,9,1
546,6,1.0,125.28,4,1,1
547,6,1.0,51.99,4,1,1
548,6,1.0,70.0,4,7,1
549,6,1.0,41.0,4,3,1
550,6,1.0,54.5,4,6,1
551,6,1.0,46.0,4,7,1
552,6,1.0,73.89,4,6,1
553,6,1.0,75.0,4,4,1
554,6,1.0,79.99,4,8,1
555,6,1.0,120.0,5,5,3
556,6,1.0,162.39999999999998,5,5,3
557,6,1.0,140.0,5,11,3
558,6,1.0,110.0,5,15,3
559,6,1.0,140.0,5,5,3
560,6,1.0,78.0,1,15,3
561,6,1.0,54.9,1,9,1
563,6,1.0,138.0,1,11,3
565,6,1.0,190.0,1,12,3
566,6,1.0,49.0,1,8,1
567,6,1.0,52.0,1,8,1
568,6,1.0,32.2,1,8,1
569,6,1.0,86.0,1,7,1
571,6,1.0,68.0,1,2,1
573,6,1.0,65.0,1,7,1
574,6,1.0,46.0,1,7,1
575,6,1.0,64.0,2,7,1
576,6,1.0,66.89,2,1,1
578,6,1.0,56.0,2,3,1
580,6,1.0,57.0,2,7,1
584,6,1.0,45.99,4,6,1
585,6,1.0,45.99,4,9,1
587,6,1.0,54.99,4,1,1
589,6,1.0,29.0,4,3,1
591,6,1.0,76.0,4,7,1
592,6,1.0,82.0,4,6,1
593,6,1.0,70.0,4,4,1
594,6,1.0,85.49,4,8,1
595,6,1.0,118.0,5,5,3
597,6,1.0,240.0,5,11,3
599,6,1.0,118.0,5,5,3
600,9,1.0,106.0,1,15,3
601,9,1.0,53.5,1,9,1
603,9,1.0,105.0,1,11,3
605,9,1.0,247.5,1,12,3
606,9,1.0,56.0,1,8,1
607,9,1.0,53.0,1,8,1
608,9,1.0,56.0,1,8,1
609,9,1.0,140.0,1,7,1
610,9,1.0,64.0,1,8,1
611,9,1.0,206.66666666666666,1,2,1
612,9,1.0,66.0,1,2,1
613,9,1.0,53.0,1,7,1
614,9,1.0,74.0,1,7,1
615,9,1.0,54.0,2,7,1
616,9,1.0,53.5,2,1,1
617,9,1.0,73.0,2,9,1
619,9,1.0,53.3,2,8,1
620,9,1.0,62.0,2,7,1
621,9,1.0,550.6269951851002,3,10,2
622,9,1.0,275.13712763893545,3,10,2
623,9,1.0,59.99,4,1,1
624,9,1.0,59.98,4,6,1
625,9,1.0,74.99,4,9,1
626,9,1.0,53.56,4,1,1
627,9,1.0,74.99,4,1,1
628,9,1.0,60.0,4,7,1
630,9,1.0,53.5,4,6,1
631,9,1.0,87.0,4,7,1
632,9,1.0,68.3,4,6,1
633,9,1.0,68.0,4,4,1
634,9,1.0,124.99,4,8,1
635,9,1.0,253.34,5,5,3
637,9,1.0,200.0,5,11,3
639,9,1.0,191.2,5,5,3
640,9,1.0,198.0,1,15,3
641,9,1.0,61.0,1,9,1
643,9,1.0,200.0,1,11,3
645,9,1.0,264.0,1,12,3
646,9,1.0,66.2,1,8,1
647,9,1.0,76.0,1,8,1
648,9,1.0,54.4,1,8,1
649,9,1.0,59.0,1,7,1
650,9,1.0,54.0,1,8,1
651,9,1.0,214.66666666666666,1,2,1
653,9,1.0,64.0,1,7,1
654,9,1.0,53.5,1,7,1
655,9,1.0,53.5,2,7,1
656,9,1.0,66.0,2,1,1
657,9,1.0,59.0,2,9,1
659,9,1.0,72.0,2,8,1
661,9,1.0,482.1954531825958,3,10,2
662,9,1.0,158.73295825323197,3,10,2
663,9,1.0,67.98,4,1,1
664,9,1.0,76.99,4,6,1
665,9,1.0,68.29,4,9,1
666,9,1.0,66.5,4,1,1
667,9,1.0,66.99,4,1,1
668,9,1.0,65.0,4,7,1
670,9,1.0,76.99,4,6,1
671,9,1.0,96.0,4,7,1
672,9,1.0,75.0,4,6,1
